0,1,2,dist
VIRB0022-0002.JPG,9.55436,46.96789,0.0
VIRB0022-0003.JPG,9.55436,46.96788,1.1117021503253053
VIRB0022-0004.JPG,9.55435,46.96786,2.3500365333842046
VIRB0022-0005.JPG,9.55434,46.96783,3.4208303783006464
VIRB0022-0006.JPG,9.55433,46.96781,2.3500367453300273
VIRB0022-0007.JPG,9.55432,46.9678,1.347229784503528
VIRB0022-0008.JPG,9.55431,46.96778,2.350036870588186
VIRB0022-0009.JPG,9.55431,46.96777,1.1117021279735124
VIRB0022-0010.JPG,9.5543,46.96776,1.3472300984437866
VIRB0022-0011.JPG,9.5543,46.96775,1.1117021245513967
VIRB0022-0012.JPG,9.55429,46.96774,1.347230254530727
VIRB0022-0013.JPG,9.55428,46.96773,1.347230332572691
VIRB0022-0014.JPG,9.55428,46.96772,1.111702120128259
VIRB0022-0015.JPG,9.55427,46.96772,0.761017928587369
VIRB0022-0016.JPG,9.55426,46.96771,1.347230489720952
VIRB0022-0017.JPG,9.55426,46.96771,0.0
VIRB0022-0018.JPG,9.55425,46.9677,1.3472305684704393
VIRB0022-0019.JPG,9.55424,46.9677,0.7610182122452761
VIRB0022-0020.JPG,9.55423,46.9677,0.7610182122452761
VIRB0022.0000.JPG,9.55489,46.96762,51.00854834022028
